RoundNumber,Heater
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,2
10,1
11,2
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,2
20,1
21,0
22,0
23,0
24,0
25,0
26,2
27,1
28,0
29,0
