RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.0186988
2,32.2381838
3,72.4921928
4,89.2318028
5,129.5702858
6,146.55321859999998
7,186.98840209999997
8,208.22705334999998
9,240.87568194999997
10,262.0638067
11,294.8355583
12,316.2303433
13,349.1268415
14,366.71038450000003
15,407.53404700000004
16,425.75939020000004
17,466.68211270000006
18,485.16292990000005
19,526.1851024
20,548.9189899
21,558.4016008000001
22,599.0172593000001
23,618.2407937
24,635.6208359000001
25,677.0199629000001
26,696.7366169000001
27,718.3240789
28,752.3212057000001
29,771.6985347000001
