RoundNumber,Buffered_Decision_Used
0,False
1,False
2,False
3,True
4,False
5,False
6,True
7,False
8,False
9,False
10,True
11,False
12,False
13,False
14,True
15,False
16,False
17,True
18,False
19,False
20,False
21,True
22,False
23,False
24,False
25,True
26,False
27,False
28,True
29,False
