RoundNumber,EnergyConsumptionAccumulated
0,0
1,0
2,0
3,0
4,44.0240185
5,47.3971685
6,47.3971685
7,91.401431
8,96.9069156
9,96.9069156
10,96.9069156
11,135.4178166
12,146.41837595
13,146.41837595
14,146.41837595
15,179.42905035
16,195.93104960000002
17,195.93104960000002
18,223.45039750000004
19,240.00167290000005
20,240.00167290000005
21,240.00167290000005
22,262.00548605000006
23,289.52843040000005
24,289.52843040000005
25,289.52843040000005
26,300.57181110000005
27,333.61125655000006
28,333.61125655000006
29,339.16503940000007
