RoundNumber,Cycle_Duration_(ms)
0,2228
1,1624
2,1925
3,1535
4,1850
5,1632
6,1824
7,1703
8,2749
9,2260
10,2639
11,2069
12,2515
13,1998
14,2598
15,2015
16,2579
17,2049
18,2273
19,1981
20,2647
21,2349
22,2473
23,2217
24,2584
25,1905
26,2164
27,1828
28,2178
29,1872
