RoundNumber,PricePerEnergy
0,0
1,32.45538422439999
2,0.14641302
3,71.23137211575
4,0.67991704
5,69.8628567923
6,0.9101692050000001
7,65.14672541025001
8,1.19625957
9,65.3634417898
10,1.7453798999999999
11,76.10594112000001
12,2.30557536
13,76.1456875179
14,2.63289444
15,72.88260426425
16,2.9117092949999996
17,63.7631503828
18,2.99936208
19,63.53957534925
20,3.2420103100000004
21,61.77470851255
22,3.5412623400000003
23,69.5199470438
24,4.43063643
25,67.7108259641
26,4.65255032
27,65.94648021500001
28,4.962444025
29,66.031251825
