RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.0194394
2,16.1070594
3,60.15861915000001
4,60.58409915000001
5,104.6338197
6,105.24921470000001
7,149.29703445
8,150.10586445
9,194.1513104
10,195.2287054
11,239.2714954
12,240.6057404
13,284.6460455
14,286.22168550000004
15,330.25951285
16,332.08732785
17,376.1226527
18,378.2012127
19,422.23418245
20,424.54495245
21,468.5753933
22,471.1564883
23,515.1843205
24,518.0208355
25,562.0460799499999
26,565.1251999499999
27,609.14821745
28,612.44552245
29,656.466357
