RoundNumber,RoomTemperature
0,17.7
1,18.57253604013516
2,15.267431846313766
3,18.73986565517684
4,15.269408014428626
5,19.13455103592326
6,15.297127344152665
7,18.73151395034269
8,14.6700894445296
9,19.03793287763259
10,14.852620591331927
11,19.092834226527014
12,15.00082605443496
13,18.78188301587824
14,14.62536000157456
15,18.87410839881685
16,14.652938755690869
17,18.51664475663888
18,14.666606461595379
19,18.745239411442014
20,14.633137871171032
21,18.99156692765941
22,15.339780916481372
23,18.703449469516684
24,15.274138996604432
25,18.89603127049525
26,15.269246735239413
27,19.39915649943449
28,15.086749604800191
29,18.619625347533493
