RoundNumber,EnergyConsumptionMeterMeasuredEnergyConsumption
256,7187.317641700002
257,7227.576185200002
258,7244.019535000002
259,7284.236026000002
260,7324.408687000002
261,7364.568775000002
262,7381.010083000002
263,7397.066020000002
264,7437.293255500002
265,7453.858316500002
266,7469.945794900002
267,7486.000880500002
268,7526.271952000002
269,7566.441742000002
270,7582.9025218000015
271,7623.159319300002
272,7663.331881300001
273,7703.477960800002
274,7720.025591800002
275,7736.090933800002
276,7776.357949300002
277,7792.904434900001
278,7833.136350400001
279,7873.329751900001
280,7889.778480100001
281,7905.849049300001
282,7946.0565118
283,7962.5368132
284,8002.774461700001
285,8042.972912200001
286,8059.498631200001
287,8099.808605200001
288,8139.999284200001
289,8180.191151200001
290,8220.3995512
291,8228.8710264
292,8236.9126866
293,8277.0549981
294,8293.5736455
295,8309.6515605
296,8325.7294359
297,8365.9512309
298,8406.145820400001
299,8422.702116600001
300,8462.963847600002
301,8479.544745000001
302,8495.629867200001
303,8535.872624700001
304,8576.071273200001
305,8592.5769228
306,8632.818822300002
307,8649.413763300001
308,8665.4941137
309,8705.7555522
310,8722.315185
311,8738.4151176
312,8754.522890999999
313,8770.640801999998
314,8810.898652499998
315,8851.101013499998
316,8867.610447899999
317,8907.868668899999
318,8924.4096765
319,8940.5257659
320,8980.8202959
321,9021.017508899999
322,9037.524403499998
323,9077.762363999998
324,9094.260244799998
325,9110.343010799998
326,9150.582316799997
327,9190.781509799997
328,9207.387356999998
329,9247.649341499999
330,9264.236364299999
331,9280.3359207
332,9320.599835699999
333,9337.1640003
334,9353.2539537
335,9369.3493521
336,9385.4509479
337,9425.715369900001
338,9466.071081900001
339,9482.904515100001
340,9523.267158600001
341,9540.091876800001
342,9556.1801274
343,9596.4348969
344,9636.6844809
345,9653.2355979
346,9693.483698400001
347,9710.208617400001
348,9726.333141600002
349,9766.615152600001
350,9806.835729600001
351,9823.448150400001
352,9863.761380900001
353,9880.5115485
354,9896.6464875
355,9936.952659
356,9953.6978466
357,9969.8388246
358,9985.9484196
359,10002.048411599999
360,10042.3433706
361,10082.6340396
362,10099.4139378
363,10139.695324799999
364,10156.2525672
365,10172.343174
366,10212.6078495
367,10229.1769941
368,10245.2683929
369,10261.3592175
370,10277.4524181
371,10317.7837446
372,10358.0669886
373,10374.7443486
374,10415.020002599998
375,10431.611059199999
376,10447.719268199999
377,10488.0052377
378,10504.6628769
379,10520.7670467
380,10536.8818293
381,10553.014590300001
382,10593.3270408
383,10633.5988008
384,10650.2458824
385,10690.5377019
386,10730.815847400001
387,10771.089339900002
388,10787.750265900002
389,10803.948921300002
390,10844.273968800002
391,10860.909895200002
392,10901.191769700003
393,10941.483824700003
394,10958.107550100003
395,10974.219144900004
396,11014.520051400004
397,11031.157422000004
398,11071.453063500005
399,11111.716656000004
400,11128.359454800004
401,11144.460832800003
402,11184.744247800003
403,11201.531118000003
404,11242.284249000002
405,11282.675700000002
406,11299.491902400001
407,11315.619337200002
408,11355.931007700001
409,11372.757817500002
410,11413.054414500002
411,11453.325184500001
412,11470.127940900002
413,11486.239515900003
414,11526.714011400003
415,11543.375883600003
416,11583.668171100004
