RoundNumber,EnergyConsumption
0,0
1,16.019127
2,16.11702
3,16.1916066
4,16.1988534
5,16.2054666
6,16.212654
7,16.217029800000002
8,16.2225738
9,16.2273852
10,16.2327312
11,16.2391266
12,16.244888399999997
13,16.249185000000004
14,16.254253800000004
15,16.2614016
16,16.267104
17,16.273400400000003
18,16.279974
19,16.2894582
20,16.295616000000006
21,16.301278800000002
22,16.307139599999996
23,16.3124064
24,16.319118600000003
25,16.3256328
26,16.334265600000005
27,16.340463
28,16.3454526
29,16.3516698
30,16.357293
31,16.363510199999993
32,16.3708164
33,16.3780632
34,16.383310199999997
35,16.390418399999998
36,16.3973286
37,16.4046546
38,16.411069800000003
39,16.4183958
40,16.4245338
41,16.43085
42,16.4393442
43,16.445581200000003
44,16.4520162
45,16.4608668
46,16.468272
47,16.4757564
48,16.4824488
49,16.490230200000003
50,16.4963286
51,16.502506200000003
52,16.507773
53,16.5148218
54,16.5223656
55,16.529830200000003
56,16.536186
57,16.5437496
58,16.5492936
59,16.5565998
60,16.5621438
61,16.5691728
62,16.575607799999997
63,16.581409200000003
64,16.5876066
65,16.5941406
66,16.600635
67,16.606377000000002
68,16.613960400000003
69,16.622316
70,16.628988600000003
71,16.636789800000003
72,16.6442544
73,16.652372399999997
74,16.6605696
75,16.6698756
76,16.6761126
77,16.6835772
78,16.689160800000003
79,16.698763800000002
80,16.7051988
81,16.7130792
82,16.721276399999997
83,16.730206199999998
84,16.7378292
85,16.7472342
86,16.755510599999997
87,16.765964999999998
88,16.7724396
89,16.7811516
90,16.7892498
91,16.7971896
92,16.8054066
93,16.8129504
94,16.820870399999997
95,16.8287706
96,16.835977800000002
97,16.8459768
98,16.855758
99,16.8676578
